id,x,y,vx,vy,m
0,0.0974595,-0.120806,-5.86603,4.01655,1.16875
1,-0.23954,-0.0283913,2.57012,0.0562165,1.47633
2,0.0334246,-0.214143,6.9017,-17.1586,1.09979
3,0.0397964,-0.0948433,7.69206,-3.05926,1.97485
4,-0.0322611,0.314184,-0.157118,-1.85317,0.519897
5,0.090402,0.0129252,-9.84448,-14.9105,0.846341
6,-0.313337,0.214866,1.28447,-1.29383,0.760047
7,-0.111637,-0.325904,0.86905,2.22567,0.811912
8,-0.137337,0.169334,-12.7239,25.617,1.09273
9,0.0869472,-0.00480911,0.701903,3.7823,1.28125
